pcd0,pcd1,volume,addedVolume,removedVolume,surface,matchingPercent,averageNeighborsPerCell
res/point_clouds/dense_2022_08_04.ply,res/point_clouds/dense_2022_08_04.ply,-1346.9828,98.9006,1445.8834,3286.9999,86.6,7.7
res/point_clouds/dense_2022_08_05.ply,res/point_clouds/dense_2022_08_05.ply,-1041.3930,176.6239,1218.0169,3196.3199,84.4,7.7
res/point_clouds/dense_2022_08_06.ply,res/point_clouds/dense_2022_08_06.ply,-947.9326,102.6909,1050.6235,2747.6399,77.1,7.5
res/point_clouds/dense_2022_08_07.ply,res/point_clouds/dense_2022_08_07.ply,-1167.5713,99.3567,1266.9280,3328.3199,87.6,7.7
res/point_clouds/dense_2022_08_08.ply,res/point_clouds/dense_2022_08_08.ply,-1167.6575,90.4216,1258.0791,3172.9199,85.5,7.7
res/point_clouds/dense_2022_08_09.ply,res/point_clouds/dense_2022_08_09.ply,-1103.7490,101.7014,1205.4504,2871.1199,79.3,7.6
res/point_clouds/dense_2022_08_10.ply,res/point_clouds/dense_2022_08_10.ply,-944.3242,160.0078,1104.3320,3036.7199,82.3,7.6
res/point_clouds/dense_2022_08_11.ply,res/point_clouds/dense_2022_08_11.ply,-1333.7393,51.9203,1385.6596,3313.7999,85.2,7.7
res/point_clouds/dense_2022_08_12.ply,res/point_clouds/dense_2022_08_12.ply,-1304.7001,62.0720,1366.7721,3290.8799,84.9,7.7
res/point_clouds/dense_2022_08_13.ply,res/point_clouds/dense_2022_08_13.ply,-789.8560,68.8282,858.6842,2762.6399,80.7,7.4
res/point_clouds/dense_2022_08_14.ply,res/point_clouds/dense_2022_08_14.ply,-1260.0144,92.3162,1352.3306,3527.5199,87.1,7.7
res/point_clouds/dense_2022_08_15.ply,res/point_clouds/dense_2022_08_15.ply,-809.8951,170.8361,980.7312,3324.7599,85.0,7.7
res/point_clouds/dense_2022_08_16.ply,res/point_clouds/dense_2022_08_16.ply,-882.3315,101.4220,983.7535,2741.9999,78.4,7.5
res/point_clouds/dense_2022_08_18.ply,res/point_clouds/dense_2022_08_18.ply,-457.2878,314.3540,771.6418,2864.7199,73.3,7.5
res/point_clouds/dense_2022_08_19.ply,res/point_clouds/dense_2022_08_19.ply,-875.7964,164.9068,1040.7032,2994.1999,81.5,7.5
res/point_clouds/dense_2022_08_20.ply,res/point_clouds/dense_2022_08_20.ply,-848.1411,128.0034,976.1445,2744.5599,79.8,7.4
res/point_clouds/dense_2022_08_21.ply,res/point_clouds/dense_2022_08_21.ply,-961.3947,58.0825,1019.4771,2610.6399,77.4,7.4
res/point_clouds/dense_2022_08_22.ply,res/point_clouds/dense_2022_08_22.ply,-1030.4684,65.3844,1095.8528,2751.1199,81.5,7.4
res/point_clouds/dense_2022_08_23_ep_25.ply,res/point_clouds/dense_2022_08_23_ep_25.ply,-1479.9656,29.8097,1509.7752,2735.9599,75.3,7.4
res/point_clouds/dense_2022_08_24_ep_26.ply,res/point_clouds/dense_2022_08_24_ep_26.ply,-1413.3277,48.0732,1461.4009,2455.9199,72.5,7.3
res/point_clouds/dense_2022_08_25_ep_27.ply,res/point_clouds/dense_2022_08_25_ep_27.ply,-1241.8309,86.0576,1327.8885,2515.0399,76.8,7.3
res/point_clouds/dense_2022_08_27_ep_28.ply,res/point_clouds/dense_2022_08_27_ep_28.ply,-1338.2558,53.2582,1391.5140,3227.7199,82.1,7.5
res/point_clouds/dense_2022_08_28_ep_29.ply,res/point_clouds/dense_2022_08_28_ep_29.ply,-710.6622,146.0644,856.7266,2582.5999,74.9,7.4
res/point_clouds/dense_2022_08_29_ep_30.ply,res/point_clouds/dense_2022_08_29_ep_30.ply,-903.9373,45.3656,949.3029,2630.1199,76.2,7.4
res/point_clouds/dense_2022_08_30_ep_31.ply,res/point_clouds/dense_2022_08_30_ep_31.ply,-1014.9199,92.3707,1107.2905,3386.7999,82.6,7.7
res/point_clouds/dense_2022_08_31_ep_32.ply,res/point_clouds/dense_2022_08_31_ep_32.ply,-1401.0090,45.5219,1446.5309,3060.2399,79.1,7.6
res/point_clouds/dense_2022_09_01_ep_33.ply,res/point_clouds/dense_2022_09_01_ep_33.ply,-1128.7766,71.7152,1200.4917,3114.2399,83.4,7.6
res/point_clouds/dense_2022_09_02_ep_34.ply,res/point_clouds/dense_2022_09_02_ep_34.ply,-903.3118,162.9419,1066.2537,3225.8399,82.3,7.6
res/point_clouds/dense_2022_09_04_ep_35.ply,res/point_clouds/dense_2022_09_04_ep_35.ply,-657.6189,121.8589,779.4778,3220.9599,82.8,7.6
res/point_clouds/dense_2022_09_05_ep_36.ply,res/point_clouds/dense_2022_09_05_ep_36.ply,-895.9774,75.6066,971.5840,3323.4399,86.1,7.7
res/point_clouds/dense_2022_09_06_ep_37.ply,res/point_clouds/dense_2022_09_06_ep_37.ply,-583.4585,123.6039,707.0624,2821.1599,79.6,7.5
res/point_clouds/dense_2022_09_07_ep_38.ply,res/point_clouds/dense_2022_09_07_ep_38.ply,-521.7491,202.3647,724.1138,2959.7599,78.9,7.4
res/point_clouds/dense_2022_09_08_ep_39.ply,res/point_clouds/dense_2022_09_08_ep_39.ply,-486.7504,205.1190,691.8694,2971.5999,77.0,7.5
res/point_clouds/dense_2022_09_09_ep_40.ply,res/point_clouds/dense_2022_09_09_ep_40.ply,-452.6390,135.1956,587.8346,2668.1599,77.6,7.4
res/point_clouds/dense_2022_09_10_ep_41.ply,res/point_clouds/dense_2022_09_10_ep_41.ply,-837.8861,46.3603,884.2464,3080.8799,80.4,7.4
res/point_clouds/dense_2022_09_11_ep_42.ply,res/point_clouds/dense_2022_09_11_ep_42.ply,-1019.7788,71.9207,1091.6995,2942.3999,76.5,7.5
res/point_clouds/dense_2022_09_12_ep_43.ply,res/point_clouds/dense_2022_09_12_ep_43.ply,-1129.4118,46.8312,1176.2430,2873.4399,78.1,7.4
res/point_clouds/dense_2022_09_13_ep_44.ply,res/point_clouds/dense_2022_09_13_ep_44.ply,-821.9702,139.3164,961.2865,3305.5199,85.1,7.5
res/point_clouds/dense_2022_09_15_ep_45.ply,res/point_clouds/dense_2022_09_15_ep_45.ply,-331.6944,116.5047,448.1991,2867.6399,76.2,7.3
res/point_clouds/dense_2022_09_16_ep_46.ply,res/point_clouds/dense_2022_09_16_ep_46.ply,-301.8964,117.3114,419.2078,3130.9999,84.1,7.4
res/point_clouds/dense_2022_09_17_ep_47.ply,res/point_clouds/dense_2022_09_17_ep_47.ply,-300.2387,116.1529,416.3916,2900.6799,78.0,7.5
