pcd0,pcd1,volume,addedVolume,removedVolume,surface,matchingPercent,averageNeighborsPerCell
res/point_clouds/dense_2022_09_15.ply,res/point_clouds/dense_2022_09_18.ply,-386.3776,24.3145,410.6921,2705.7999,77.6,7.4
res/point_clouds/dense_2022_09_16.ply,res/point_clouds/dense_2022_09_19.ply,-293.1881,53.8874,347.0755,2839.8399,82.5,7.5
res/point_clouds/dense_2022_09_17.ply,res/point_clouds/dense_2022_09_20.ply,-287.3599,18.2877,305.6476,2528.6799,75.7,7.4
res/point_clouds/dense_2022_09_18.ply,res/point_clouds/dense_2022_09_22.ply,-350.0821,34.1740,384.2561,2756.1999,75.6,7.4
res/point_clouds/dense_2022_09_19.ply,res/point_clouds/dense_2022_09_23.ply,-272.0978,35.7743,307.8721,2950.7199,85.1,7.5
res/point_clouds/dense_2022_09_20.ply,res/point_clouds/dense_2022_09_26.ply,-501.4304,12.4798,513.9101,2608.9199,70.4,7.5
res/point_clouds/dense_2022_09_22.ply,res/point_clouds/dense_2022_09_27.ply,-600.1134,16.7341,616.8475,3337.7199,90.4,7.8
res/point_clouds/dense_2022_09_23.ply,res/point_clouds/dense_2022_09_28.ply,-774.7488,4.8875,779.6363,3192.1599,83.8,7.6
res/point_clouds/dense_2022_09_26.ply,res/point_clouds/dense_2022_09_29.ply,-267.9433,29.4427,297.3860,3513.4399,93.8,7.8
res/point_clouds/dense_2022_09_27.ply,res/point_clouds/dense_2022_09_30.ply,-223.2224,38.0303,261.2526,3334.5199,91.8,7.7
res/point_clouds/dense_2022_09_28.ply,res/point_clouds/dense_2022_10_02.ply,-63.4459,179.3247,242.7706,2882.9999,76.7,7.4
